Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,39400.0,36850.0,38750.0,34283.77734375,47177112
2019-01-07,38000.0,40700.0,37950.0,40050.0,35433.9453125,68587020
2019-01-14,40050.0,42750.0,39850.0,42750.0,37822.74609375,54106211
2019-01-21,42750.0,45500.0,41350.0,45050.0,39857.6640625,76571367
2019-01-28,45050.0,47050.0,44350.0,46350.0,41007.82421875,69174596
2019-02-04,46350.0,47100.0,44250.0,45000.0,39813.4140625,39686241
2019-02-11,44650.0,47500.0,44650.0,46200.0,40875.11328125,60481817
2019-02-18,45850.0,47550.0,45450.0,47350.0,41892.56640625,41322612
2019-02-25,47350.0,47450.0,44800.0,44850.0,39680.70703125,52526618
2019-03-04,44600.0,45100.0,43400.0,43650.0,38619.02734375,50311175
2019-03-11,44300.0,44950.0,43450.0,43700.0,38663.24609375,62582520
2019-03-18,43750.0,47000.0,43100.0,45500.0,40255.7890625,59829460
2019-03-25,45500.0,45700.0,44200.0,45050.0,39857.6640625,44973040
2019-04-01,45550.0,47550.0,45350.0,46650.0,41597.953125,51621674
2019-04-08,46700.0,47500.0,46000.0,47050.0,41954.63671875,48862110
2019-04-15,47400.0,47600.0,45100.0,45350.0,40438.734375,40539953
2019-04-22,45050.0,46150.0,43800.0,46150.0,41152.109375,49606297
2019-04-29,46000.0,46300.0,45300.0,45300.0,40394.15625,26309315
2019-05-06,45250.0,45300.0,42350.0,42650.0,38031.140625,67657970
2019-05-13,41300.0,43100.0,40850.0,42000.0,37451.5390625,62032091
2019-05-20,42600.0,44000.0,42350.0,42650.0,38031.140625,64137452
2019-05-27,42550.0,43900.0,41300.0,43800.0,39056.6015625,78036096
2019-06-03,43400.0,44850.0,43000.0,44800.0,39948.30078125,42853496
2019-06-10,44800.0,45050.0,43300.0,43900.0,39145.7734375,53392149
2019-06-17,43750.0,45800.0,43650.0,45500.0,40572.49609375,41100382
2019-06-24,45200.0,47400.0,45200.0,46600.0,41553.3671875,53239158
2019-07-01,46200.0,46900.0,44350.0,44400.0,39900.703125,39557252
2019-07-08,44850.0,46650.0,44700.0,46450.0,41742.95703125,37853132
2019-07-15,46450.0,47300.0,45650.0,47200.0,42416.95703125,35596482
2019-07-22,47350.0,47550.0,46000.0,46100.0,41428.43359375,40957473
2019-07-29,46300.0,46850.0,43600.0,43950.0,39496.30078125,52600571
2019-08-05,42500.0,44000.0,42500.0,43700.0,39271.6328125,60164554
2019-08-12,43500.0,44350.0,42950.0,43600.0,39181.76953125,31569447
2019-08-19,43950.0,44800.0,42950.0,43600.0,39181.76953125,36039429
2019-08-26,43650.0,44850.0,43050.0,43800.0,39361.5,50495737
2019-09-02,43550.0,47000.0,43100.0,46900.0,42147.36328125,59844927
2019-09-09,47100.0,47400.0,46400.0,47100.0,42327.09765625,40924337
2019-09-16,47000.0,49600.0,46800.0,49300.0,44304.16015625,56909483
2019-09-23,49050.0,49650.0,47900.0,49050.0,44079.48828125,43099012
2019-09-30,48900.0,49100.0,47350.0,47750.0,43222.21875,30967466
2019-10-07,47900.0,50300.0,47600.0,50000.0,45258.86328125,51793132
2019-10-14,49900.0,50900.0,49650.0,50300.0,45530.421875,34785404
2019-10-21,50800.0,52500.0,50500.0,51300.0,46435.58984375,55059813
2019-10-28,51400.0,52300.0,50200.0,52300.0,47340.76953125,48326098
2019-11-04,52400.0,53500.0,51400.0,51600.0,46707.13671875,53988525
2019-11-11,51800.0,53800.0,51600.0,53500.0,48426.98828125,42261276
2019-11-18,53200.0,53500.0,50600.0,51800.0,46888.1796875,53294828
2019-11-25,51900.0,52900.0,50200.0,50400.0,45620.9375,71808958
2019-12-02,49800.0,51400.0,49000.0,51200.0,46345.07421875,55641266
2019-12-09,51000.0,54900.0,50700.0,54700.0,49513.1953125,77073655
2019-12-16,55800.0,57300.0,55100.0,55500.0,50237.34375,71031932
2019-12-23,55600.0,56900.0,54400.0,55800.0,50508.88671875,42183320
2019-12-30,55800.0,56600.0,54600.0,55500.0,50560.41796875,38694434
2020-01-06,55700.0,60000.0,55600.0,60000.0,54659.90625,84972837
2020-01-13,60400.0,62800.0,58900.0,62400.0,56846.30859375,74143513
2020-01-20,62000.0,62600.0,60400.0,60800.0,55388.70703125,41398813
2020-01-27,59400.0,59700.0,55200.0,57200.0,52109.11328125,104677299
2020-02-03,57100.0,61200.0,56800.0,59700.0,54386.61328125,85315130
2020-02-10,59800.0,62000.0,59700.0,61500.0,56026.3984375,64441876
2020-02-17,60800.0,61300.0,56800.0,56800.0,51744.71484375,83622616
2020-02-24,56200.0,58000.0,53600.0,55000.0,50104.91796875,133035690
2020-03-02,56700.0,58000.0,54600.0,56500.0,51471.41796875,95511669
2020-03-09,53800.0,54900.0,46850.0,48900.0,44547.83203125,170616589
2020-03-16,46900.0,49650.0,42300.0,42500.0,38717.43359375,239727921
2020-03-23,43850.0,49700.0,43050.0,47850.0,43591.2734375,211416532
2020-03-30,48000.0,48800.0,45350.0,48700.0,44693.1875,125715277
2020-04-06,49650.0,50200.0,48300.0,48300.0,44326.09765625,111433317
2020-04-13,48800.0,52000.0,48300.0,50100.0,45978.0,91464005
2020-04-20,49400.0,50300.0,48350.0,49850.0,45748.5703125,94443667
2020-04-27,49850.0,50500.0,48500.0,48500.0,44509.6484375,57783681
2020-05-04,48500.0,49350.0,48300.0,48400.0,44417.8828125,63632079
2020-05-11,48400.0,49100.0,47200.0,48800.0,44784.96484375,101907940
2020-05-18,50100.0,50500.0,48450.0,48850.0,44830.8515625,89058657
2020-05-25,48700.0,51200.0,48600.0,51200.0,46987.5,110531431
2020-06-01,51000.0,57000.0,50800.0,54900.0,50383.0859375,152104675
2020-06-08,55800.0,56500.0,49900.0,49900.0,45794.45703125,130305387
2020-06-15,51200.0,52900.0,50600.0,52000.0,47721.671875,96423231
2020-06-22,52500.0,53900.0,51100.0,52400.0,48088.7734375,100499613
2020-06-29,53900.0,55000.0,52100.0,55000.0,50812.33984375,83750389
2020-07-06,55800.0,55900.0,52300.0,53400.0,49334.15625,93434468
2020-07-13,53700.0,55000.0,53200.0,54200.0,50073.2421875,75703765
2020-07-20,55200.0,55700.0,53700.0,55600.0,51366.6484375,79446205
2020-07-27,57000.0,60400.0,56400.0,56800.0,52475.28125,147295816
2020-08-03,57200.0,58400.0,56300.0,57800.0,53399.140625,95311282
2020-08-10,58000.0,59600.0,57700.0,58000.0,53583.91796875,81243854
2020-08-17,58900.0,59900.0,55300.0,56100.0,51828.578125,108822757
2020-08-24,56400.0,56800.0,54000.0,54000.0,49888.46484375,95161121
2020-08-31,54100.0,57300.0,54100.0,56500.0,52198.12890625,105478749
2020-09-07,57400.0,60800.0,57200.0,60400.0,55801.1796875,128703591
2020-09-14,60900.0,61300.0,59000.0,59200.0,54692.54296875,94051833
2020-09-21,59100.0,59700.0,57400.0,58200.0,53768.6875,82564562
2020-09-28,58300.0,59200.0,57500.0,58700.0,54564.21875,35731852
2020-10-05,59400.0,60700.0,58500.0,60400.0,56144.4453125,70061425
2020-10-12,61000.0,61400.0,59000.0,60000.0,55772.625,84119754
2020-10-19,60300.0,61500.0,59800.0,60400.0,56144.4453125,71914111
2020-10-26,60300.0,60300.0,56000.0,57400.0,53355.81640625,101723184
2020-11-02,57900.0,60900.0,57600.0,60200.0,55958.54296875,90112146
2020-11-09,60500.0,66700.0,59500.0,66300.0,61628.7578125,132365798
2020-11-16,67000.0,67800.0,63900.0,67500.0,62744.20703125,111961249
2020-11-23,67900.0,69500.0,66000.0,66700.0,62000.5703125,141503073
2020-11-30,67100.0,73500.0,67100.0,72900.0,67763.75,132330133
2020-12-07,72200.0,74500.0,71600.0,73800.0,68600.34375,128958349
2020-12-14,73800.0,74500.0,72000.0,73000.0,67856.6953125,100649350
2020-12-21,72500.0,80100.0,72100.0,78700.0,73155.09375,108304150
2020-12-28,78800.0,84400.0,77300.0,83000.0,77152.1328125,98412146
2021-01-04,81600.0,96800.0,81600.0,91000.0,86717.3046875,259388808
2021-01-11,90300.0,91800.0,84100.0,85000.0,80999.6875,187804994
2021-01-18,84500.0,89900.0,83600.0,89400.0,85192.6015625,148544377
2021-01-25,88800.0,89200.0,81000.0,83000.0,79093.8046875,159124624
2021-02-01,84100.0,86400.0,82100.0,83000.0,79093.8046875,105961570
2021-02-08,84000.0,84800.0,81600.0,84200.0,80237.3359375,67453804
2021-02-15,84500.0,86000.0,81000.0,82200.0,78331.4609375,111419283
2021-02-22,81200.0,85400.0,81100.0,82500.0,78617.34375,120071751
2021-03-01,85100.0,85300.0,81100.0,82000.0,78140.875,115878870
2021-03-08,81400.0,83500.0,80600.0,81800.0,77950.28125,96543854
2021-03-15,82200.0,83800.0,81700.0,82000.0,78140.875,71044133
2021-03-22,82600.0,82900.0,80700.0,81600.0,77759.6875,73783283
2021-03-29,81600.0,86000.0,81300.0,85400.0,81380.8671875,88292205
2021-04-05,86200.0,86200.0,83100.0,83200.0,79636.6953125,87280809
2021-04-12,83000.0,84700.0,82800.0,83300.0,79732.421875,76127103
2021-04-19,83300.0,84000.0,81600.0,83500.0,79923.8671875,84387808
2021-04-26,83200.0,83300.0,81000.0,81700.0,78200.953125,82922798
2021-05-03,81900.0,83500.0,81500.0,83200.0,79636.6953125,63119970
2021-05-10,82500.0,82600.0,78400.0,79600.0,76190.8828125,130490819
2021-05-17,79600.0,81500.0,79100.0,79700.0,76286.6015625,68396615
2021-05-24,80000.0,80600.0,79100.0,80500.0,77052.3515625,74493334
2021-05-31,80500.0,83000.0,80100.0,81900.0,78392.390625,94627508
2021-06-07,82300.0,82600.0,80500.0,80500.0,77052.3515625,69915084
2021-06-14,80900.0,81900.0,79600.0,79900.0,76478.0390625,70062986
2021-06-21,80200.0,82000.0,79900.0,81900.0,78392.390625,69460927
2021-06-28,81900.0,82100.0,79900.0,80400.0,76956.625,59499908
2021-07-05,80600.0,81300.0,79000.0,79700.0,76624.3515625,77273536
2021-07-12,80000.0,80600.0,78800.0,79000.0,75951.3671875,59220178
2021-07-19,78500.0,79900.0,78400.0,78800.0,75759.0859375,56570617
2021-07-26,79200.0,79500.0,78100.0,79300.0,76239.796875,64094098
2021-08-02,79400.0,83300.0,79300.0,81500.0,78354.890625,97332401
2021-08-09,82300.0,82400.0,74100.0,74400.0,71528.875,154239642
2021-08-16,74000.0,75100.0,72500.0,73300.0,70471.328125,124053227
2021-08-23,73900.0,76600.0,73800.0,74600.0,71721.1640625,87867818
2021-08-30,74900.0,77600.0,74300.0,77300.0,74316.9765625,81050230
2021-09-06,77100.0,77100.0,74800.0,76300.0,73355.5625,64139305
2021-09-13,77100.0,77700.0,75900.0,77200.0,74220.828125,60353309
2021-09-20,77200.0,77700.0,76800.0,77700.0,74701.53125,41002662
2021-09-27,77700.0,77800.0,72900.0,73200.0,70375.1796875,75121596
2021-10-04,73000.0,73000.0,71200.0,71500.0,69067.578125,70697702
2021-10-11,70700.0,71000.0,68300.0,70200.0,67811.8046875,106232143
2021-10-18,70800.0,71000.0,69500.0,70200.0,67811.8046875,48975792
2021-10-25,70600.0,72200.0,69500.0,69900.0,67522.015625,69988350
2021-11-01,70800.0,72200.0,69800.0,70600.0,68198.1953125,65191709
2021-11-08,70300.0,71900.0,69600.0,71400.0,68970.984375,54578880
2021-11-15,71500.0,75200.0,70100.0,74900.0,72351.90625,71553153
2021-11-22,76000.0,76200.0,71400.0,72300.0,69840.359375,79925559
2021-11-29,73200.0,76700.0,70500.0,76300.0,73704.28125,110694127
2021-12-06,76100.0,78600.0,75600.0,76800.0,74187.2734375,86589290
2021-12-13,76500.0,78500.0,76200.0,77100.0,74477.0703125,56930581
